ID;Name;Platform;Genre;Publisher
1;Wii Sports;Wii;Sports;Nintendo
2;Super Mario Bros.;NES;Platform;Nintendo
3;Mario Kart Wii;Wii;Racing;Nintendo
4;Wii Sports Resort;Wii;Sports;Nintendo
5;Pokemon Red/Pokemon Blue;GB;Role-Playing;Nintendo
6;Tetris;GB;Puzzle;Nintendo
7;New Super Mario Bros.;DS;Platform;Nintendo
8;Wii Play;Wii;Misc;Nintendo
9;New Super Mario Bros. Wii;Wii;Platform;Nintendo
10;Duck Hunt;NES;Shooter;Nintendo
11;Nintendogs;DS;Simulation;Nintendo
12;Mario Kart DS;DS;Racing;Nintendo
13;Pokemon Gold/Pokemon Silver;GB;Role-Playing;Nintendo
14;Wii Fit;Wii;Sports;Nintendo
15;Wii Fit Plus;Wii;Sports;Nintendo
16;Kinect Adventures!;X360;Misc;Microsoft Game Studios
17;Grand Theft Auto V;PS3;Action;Take-Two Interactive
18;Grand Theft Auto: San Andreas;PS2;Action;Take-Two Interactive
19;Super Mario World;SNES;Platform;Nintendo
20;Brain Age: Train Your Brain in Minutes a Day;DS;Misc;Nintendo
21;Pokemon Diamond/Pokemon Pearl;DS;Role-Playing;Nintendo
22;Super Mario Land;GB;Platform;Nintendo
23;Super Mario Bros. 3;NES;Platform;Nintendo
24;Grand Theft Auto: Vice City;PS2;Action;Take-Two Interactive
25;Pokemon Ruby/Pokemon Sapphire;GBA;Role-Playing;Nintendo
26;Pokemon Black/Pokemon White;DS;Role-Playing;Nintendo
27;Brain Age 2: More Training in Minutes a Day;DS;Puzzle;Nintendo
28;Gran Turismo 3: A-Spec;PS2;Racing;Sony Computer Entertainment
29;Call of Duty: Modern Warfare 3;X360;Shooter;Activision
30;Pokemon Yellow: Special Pikachu Edition;GB;Role-Playing;Nintendo
31;Call of Duty: Black Ops;X360;Shooter;Activision
32;Pokemon X/Pokemon Y;3DS;Role-Playing;Nintendo
33;Call of Duty: Black Ops 3;PS4;Shooter;Activision
34;Call of Duty: Black Ops II;PS3;Shooter;Activision
35;Call of Duty: Modern Warfare 2;X360;Shooter;Activision
36;Grand Theft Auto III;PS2;Action;Take-Two Interactive
37;Super Smash Bros. Brawl;Wii;Fighting;Nintendo
38;Animal Crossing: Wild World;DS;Simulation;Nintendo
39;Mario Kart 7;3DS;Racing;Nintendo
40;Halo 3;X360;Shooter;Microsoft Game Studios
41;Pokemon HeartGold/Pokemon SoulSilver;DS;Action;Nintendo
42;Super Mario 64;N64;Platform;Nintendo
43;Gran Turismo 4;PS2;Racing;Sony Computer Entertainment
44;Super Mario Galaxy;Wii;Platform;Nintendo
45;Pokemon Omega Ruby/Pokemon Alpha Sapphire;3DS;Role-Playing;Nintendo
